applicability,type,name,virtual,folder,rel,note,direct,size
已直接引用,Placeable Blueprint,BPP_ceiling_staircase_DES,/Game/Dungeon_Forge/Blueprints/BPP_ceiling_staircase_DES,Blueprints,Blueprints/BPP_ceiling_staircase_DES.uasset,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,42636
已直接引用,Placeable Blueprint,BPP_dungeon_column1,/Game/Dungeon_Forge/Blueprints/BPP_dungeon_column1,Blueprints,Blueprints/BPP_dungeon_column1.uasset,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,43657
已直接引用,Placeable Blueprint,BPP_dungeon_floor_test1,/Game/Dungeon_Forge/Blueprints/BPP_dungeon_floor_test1,Blueprints,Blueprints/BPP_dungeon_floor_test1.uasset,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,45775
已直接引用,Placeable Blueprint,BPP_dungeon_floor_test4,/Game/Dungeon_Forge/Blueprints/BPP_dungeon_floor_test4,Blueprints,Blueprints/BPP_dungeon_floor_test4.uasset,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,48872
已直接引用,Placeable Blueprint,BPP_dungeon_random_mansory_01,/Game/Dungeon_Forge/Blueprints/BPP_dungeon_random_mansory_01,Blueprints,Blueprints/BPP_dungeon_random_mansory_01.uasset,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,55903
已直接引用,Placeable Blueprint,BPP_dungeon_wall_big_1,/Game/Dungeon_Forge/Blueprints/BPP_dungeon_wall_big_1,Blueprints,Blueprints/BPP_dungeon_wall_big_1.uasset,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,72463
已直接引用,Placeable Blueprint,BPP_groin_vault_family_des_1,/Game/Dungeon_Forge/Blueprints/BPP_groin_vault_family_des_1,Blueprints,Blueprints/BPP_groin_vault_family_des_1.uasset,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,190854
已直接引用,Level/Sublevel,ceiling_staircase,/Game/Dungeon_Forge/Levels/Sublevels/ceiling_staircase,Levels/Sublevels,Levels/Sublevels/ceiling_staircase.umap,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,8982
已直接引用,Level/Sublevel,dungeon_column1,/Game/Dungeon_Forge/Levels/Sublevels/dungeon_column1,Levels/Sublevels,Levels/Sublevels/dungeon_column1.umap,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,8965
已直接引用,Level/Sublevel,dungeon_floor_01,/Game/Dungeon_Forge/Levels/Sublevels/dungeon_floor_01,Levels/Sublevels,Levels/Sublevels/dungeon_floor_01.umap,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,8977
已直接引用,Level/Sublevel,dungeon_floor_04,/Game/Dungeon_Forge/Levels/Sublevels/dungeon_floor_04,Levels/Sublevels,Levels/Sublevels/dungeon_floor_04.umap,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,8972
已直接引用,Level/Sublevel,dungeon_random_mansory_01,/Game/Dungeon_Forge/Levels/Sublevels/dungeon_random_mansory_01,Levels/Sublevels,Levels/Sublevels/dungeon_random_mansory_01.umap,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,9026
已直接引用,Level/Sublevel,dungeon_wall_big_1,/Game/Dungeon_Forge/Levels/Sublevels/dungeon_wall_big_1,Levels/Sublevels,Levels/Sublevels/dungeon_wall_big_1.umap,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,8985
已直接引用,Level/Sublevel,groin_vault_family_des_1,/Game/Dungeon_Forge/Levels/Sublevels/groin_vault_family_des_1,Levels/Sublevels,Levels/Sublevels/groin_vault_family_des_1.umap,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,9022
已直接引用,Static Mesh,SM_Blind_Arch_01a,/Game/Dungeon_Forge/Meshes/Blind_Arch/SM_Blind_Arch_01a,Meshes/Blind_Arch,Meshes/Blind_Arch/SM_Blind_Arch_01a.uasset,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,2062053
已直接引用,Static Mesh,SM_Dungeon_Mud_01a,/Game/Dungeon_Forge/Meshes/Mud/SM_Dungeon_Mud_01a,Meshes/Mud,Meshes/Mud/SM_Dungeon_Mud_01a.uasset,NewWorld 二进制路径扫描命中该资产，可视为当前场景已使用或已依赖。,True,3544917
推荐适用,Placeable Blueprint,BPP_BP_Column_1_des,/Game/Dungeon_Forge/Blueprints/BPP_BP_Column_1_des,Blueprints,Blueprints/BPP_BP_Column_1_des.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,63701
推荐适用,Placeable Blueprint,BPP_Groin_Vault_1,/Game/Dungeon_Forge/Blueprints/BPP_Groin_Vault_1,Blueprints,Blueprints/BPP_Groin_Vault_1.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,46964
推荐适用,Placeable Blueprint,BPP_ceiling_staircase,/Game/Dungeon_Forge/Blueprints/BPP_ceiling_staircase,Blueprints,Blueprints/BPP_ceiling_staircase.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,44498
推荐适用,Placeable Blueprint,BPP_column_test1,/Game/Dungeon_Forge/Blueprints/BPP_column_test1,Blueprints,Blueprints/BPP_column_test1.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,45379
推荐适用,Placeable Blueprint,BPP_dungeon_floor_reinforcement_1,/Game/Dungeon_Forge/Blueprints/BPP_dungeon_floor_reinforcement_1,Blueprints,Blueprints/BPP_dungeon_floor_reinforcement_1.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,42371
推荐适用,Placeable Blueprint,BPP_dungeon_floor_test2,/Game/Dungeon_Forge/Blueprints/BPP_dungeon_floor_test2,Blueprints,Blueprints/BPP_dungeon_floor_test2.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,47453
推荐适用,Placeable Blueprint,BPP_dungeon_floor_test3,/Game/Dungeon_Forge/Blueprints/BPP_dungeon_floor_test3,Blueprints,Blueprints/BPP_dungeon_floor_test3.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,53989
推荐适用,Placeable Blueprint,BPP_floor_destr_skirting,/Game/Dungeon_Forge/Blueprints/BPP_floor_destr_skirting,Blueprints,Blueprints/BPP_floor_destr_skirting.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,44076
推荐适用,Placeable Blueprint,BPP_groin_vault_family_des_3,/Game/Dungeon_Forge/Blueprints/BPP_groin_vault_family_des_3,Blueprints,Blueprints/BPP_groin_vault_family_des_3.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,189943
推荐适用,Level/Sublevel,BP_Column_1_des,/Game/Dungeon_Forge/Levels/Sublevels/BP_Column_1_des,Levels/Sublevels,Levels/Sublevels/BP_Column_1_des.umap,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,8966
推荐适用,Level/Sublevel,Groin_Vault_1,/Game/Dungeon_Forge/Levels/Sublevels/Groin_Vault_1,Levels/Sublevels,Levels/Sublevels/Groin_Vault_1.umap,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,8955
推荐适用,Level/Sublevel,column_test1,/Game/Dungeon_Forge/Levels/Sublevels/column_test1,Levels/Sublevels,Levels/Sublevels/column_test1.umap,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,8948
推荐适用,Level/Sublevel,dungeon_floor_02,/Game/Dungeon_Forge/Levels/Sublevels/dungeon_floor_02,Levels/Sublevels,Levels/Sublevels/dungeon_floor_02.umap,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,8973
推荐适用,Level/Sublevel,dungeon_floor_03,/Game/Dungeon_Forge/Levels/Sublevels/dungeon_floor_03,Levels/Sublevels,Levels/Sublevels/dungeon_floor_03.umap,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,8976
推荐适用,Level/Sublevel,dungeon_floor_reinforcement_1,/Game/Dungeon_Forge/Levels/Sublevels/dungeon_floor_reinforcement_1,Levels/Sublevels,Levels/Sublevels/dungeon_floor_reinforcement_1.umap,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,9049
推荐适用,Level/Sublevel,floor_destr_skirting,/Game/Dungeon_Forge/Levels/Sublevels/floor_destr_skirting,Levels/Sublevels,Levels/Sublevels/floor_destr_skirting.umap,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,8996
推荐适用,Static Mesh,SM_Blind_Arch_01b,/Game/Dungeon_Forge/Meshes/Blind_Arch/SM_Blind_Arch_01b,Meshes/Blind_Arch,Meshes/Blind_Arch/SM_Blind_Arch_01b.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,3834107
推荐适用,Static Mesh,SM_Floor_Debris_01a,/Game/Dungeon_Forge/Meshes/Debris/SM_Floor_Debris_01a,Meshes/Debris,Meshes/Debris/SM_Floor_Debris_01a.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,33421
推荐适用,Static Mesh,SM_Floor_Debris_01b,/Game/Dungeon_Forge/Meshes/Debris/SM_Floor_Debris_01b,Meshes/Debris,Meshes/Debris/SM_Floor_Debris_01b.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,36834
推荐适用,Static Mesh,SM_Floor_Debris_01d,/Game/Dungeon_Forge/Meshes/Debris/SM_Floor_Debris_01d,Meshes/Debris,Meshes/Debris/SM_Floor_Debris_01d.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,36739
推荐适用,Static Mesh,SM_Wall_Debris_01a,/Game/Dungeon_Forge/Meshes/Debris/SM_Wall_Debris_01a,Meshes/Debris,Meshes/Debris/SM_Wall_Debris_01a.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,36075
推荐适用,Static Mesh,SM_Wall_Debris_01b,/Game/Dungeon_Forge/Meshes/Debris/SM_Wall_Debris_01b,Meshes/Debris,Meshes/Debris/SM_Wall_Debris_01b.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,33774
推荐适用,Static Mesh,SM_Wall_Debris_01c,/Game/Dungeon_Forge/Meshes/Debris/SM_Wall_Debris_01c,Meshes/Debris,Meshes/Debris/SM_Wall_Debris_01c.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,41924
推荐适用,Static Mesh,SM_Wall_Debris_01d,/Game/Dungeon_Forge/Meshes/Debris/SM_Wall_Debris_01d,Meshes/Debris,Meshes/Debris/SM_Wall_Debris_01d.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,32341
推荐适用,Static Mesh,SM_Floor_Debris_01a,/Game/Dungeon_Forge/Meshes/Debris_2/SM_Floor_Debris_01a,Meshes/Debris_2,Meshes/Debris_2/SM_Floor_Debris_01a.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,33492
推荐适用,Static Mesh,SM_Floor_Debris_01b,/Game/Dungeon_Forge/Meshes/Debris_2/SM_Floor_Debris_01b,Meshes/Debris_2,Meshes/Debris_2/SM_Floor_Debris_01b.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,36907
推荐适用,Static Mesh,SM_Floor_Debris_01c,/Game/Dungeon_Forge/Meshes/Debris_2/SM_Floor_Debris_01c,Meshes/Debris_2,Meshes/Debris_2/SM_Floor_Debris_01c.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,32312
推荐适用,Static Mesh,SM_Floor_Debris_01d,/Game/Dungeon_Forge/Meshes/Debris_2/SM_Floor_Debris_01d,Meshes/Debris_2,Meshes/Debris_2/SM_Floor_Debris_01d.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,36800
推荐适用,Static Mesh,SM_Wall_Debris_01a,/Game/Dungeon_Forge/Meshes/Debris_2/SM_Wall_Debris_01a,Meshes/Debris_2,Meshes/Debris_2/SM_Wall_Debris_01a.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,36430
推荐适用,Static Mesh,SM_Wall_Debris_01b,/Game/Dungeon_Forge/Meshes/Debris_2/SM_Wall_Debris_01b,Meshes/Debris_2,Meshes/Debris_2/SM_Wall_Debris_01b.uasset,适合扩展 NewWorld 的地牢墙体、拱券、地面、柱体、楼梯或通道结构。,False,33900
